link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13]
1330,420,3,1,1,445,451,457,463,469,475,481,485,489,493,497,501,505,1315
1332,425,424,2,512,1325,,,,,,,,,,,,,
1334,429,428,1,512,1327,,,,,,,,,,,,,
1338,433,432,1,1,1328,,,,,,,,,,,,,
1340,448,445,2,16384,1317,,,,,,,,,,,,,
1342,454,451,2,16384,1318,,,,,,,,,,,,,
1344,460,457,2,16384,1319,,,,,,,,,,,,,
1346,466,463,2,16384,1320,,,,,,,,,,,,,
1348,472,469,2,16384,1321,,,,,,,,,,,,,
1350,478,475,2,16384,1322,,,,,,,,,,,,,
1352,482,481,2,16384,1320,,,,,,,,,,,,,
1354,486,485,2,16384,1321,,,,,,,,,,,,,
1356,490,489,2,16384,1322,,,,,,,,,,,,,
1358,494,493,1,512,1316,,,,,,,,,,,,,
1360,498,497,2,16384,1317,,,,,,,,,,,,,
1362,502,501,2,16384,1318,,,,,,,,,,,,,
1364,506,505,2,16384,1319,,,,,,,,,,,,,
1366,394,1315,1,512,432,,,,,,,,,,,,,
1368,395,1316,1,512,1327,,,,,,,,,,,,,
1371,397,1317,2,512,1323,,,,,,,,,,,,,
1374,400,1318,2,512,1326,,,,,,,,,,,,,
1377,403,1319,2,512,1323,,,,,,,,,,,,,
1380,406,1320,2,512,1323,,,,,,,,,,,,,
1383,409,1321,2,512,1323,,,,,,,,,,,,,
1386,412,1322,2,512,1326,,,,,,,,,,,,,
1391,414,1323,1,512,4808,,,,,,,,,,,,,
1392,414,1323,1,512,4808,,,,,,,,,,,,,
1397,416,1325,2,512,1326,1327,,,,,,,,,,,,
1401,417,1326,1,512,428,,,,,,,,,,,,,
1405,418,1327,1,512,432,,,,,,,,,,,,,
1406,418,1327,1,512,432,,,,,,,,,,,,,
1408,419,1328,1,1,3,,,,,,,,,,,,,
1395,4749,4807,2,512,424,,,,,,,,,,,,,
4812,4750,4808,2,512,4807,,,,,,,,,,,,,
