link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4]
1687,434,3,1,1,1679,1682,,,
1688,434,3,1,1,1670,1673,,,
1689,434,3,1,1,1668,1671,1674,1680,1683
1690,434,3,1,1,1667,,,,
1694,441,440,2,32768,1675,,,,
1698,454,453,2,32768,1676,,,,
1702,473,472,2,32768,1675,,,,
1706,486,485,2,32768,1676,,,,
1710,516,515,2,32768,1677,,,,
1714,529,528,2,32768,1678,,,,
1717,411,1666,2,64,440,453,,,
1719,412,1667,1,8,1666,,,,
1720,412,1667,1,8,1666,,,,
1722,413,1668,2,64,440,453,,,
1723,413,1668,2,64,440,453,,,
1726,416,1669,2,256,472,,,,
1728,417,1670,1,32,1669,,,,
1729,417,1670,1,32,1669,,,,
1731,418,1671,2,256,472,,,,
1732,418,1671,2,256,472,,,,
1735,419,1672,2,256,485,,,,
1737,420,1673,1,32,1672,,,,
1738,420,1673,1,32,1672,,,,
1740,421,1674,2,256,485,,,,
1741,421,1674,2,256,485,,,,
1744,422,1675,2,32768,515,,,,
1745,422,1675,2,32768,515,,,,
1746,422,1675,2,32768,515,,,,
1749,423,1676,2,32768,528,,,,
1750,423,1676,2,32768,528,,,,
1751,423,1676,2,32768,528,,,,
1756,425,1677,1,4096,1681,,,,
1761,426,1678,1,4096,1684,,,,
1763,428,1679,1,4096,1677,,,,
1764,428,1679,1,4096,1677,,,,
1766,429,1680,2,32768,1677,,,,
1768,430,1681,1,1,3,,,,
1770,431,1682,1,4096,1678,,,,
1771,431,1682,1,4096,1678,,,,
1773,432,1683,2,32768,1678,,,,
1775,433,1684,1,1,3,,,,
