link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3]
2111,513,3,1,1,2107,,,
2112,513,3,1,1,2092,2096,,
2113,513,3,1,1,2093,2097,2108,
2120,518,517,2,256,2106,,,
2121,521,517,2,4194304,2099,,,
2125,564,560,1,128,2104,,,
2126,567,560,2,4096,2094,,,
2127,561,560,2,512,2105,,,
2139,616,615,2,4194304,2098,,,
2143,629,628,2,4096,2094,,,
2147,639,638,2,65536,2102,,,
2151,652,651,2,65536,2101,,,
2155,668,667,2,4194304,2098,,,
2158,489,2091,2,256,517,,,
2160,490,2092,1,64,2091,,,
2161,490,2092,1,64,2091,,,
2163,491,2093,2,256,517,,,
2164,491,2093,2,256,517,,,
2167,494,2094,2,4096,560,,,
2168,494,2094,2,4096,560,,,
2169,494,2094,2,4096,560,,,
2172,495,2095,2,65536,5560,5666,5781,5890
2174,496,2096,1,16384,2095,,,
2175,496,2096,1,16384,2095,,,
2177,497,2097,2,65536,5560,5666,5781,5890
2178,497,2097,2,65536,5560,5666,5781,5890
2181,499,2098,2,4194304,615,628,,
2182,499,2098,2,4194304,615,628,,
2183,499,2098,2,4194304,615,628,,
2186,501,2099,2,1048576,2100,,,
2188,502,2100,1,1048576,638,651,,
2189,502,2100,1,1048576,638,651,,
2190,502,2100,1,1048576,638,651,,
2192,503,2101,2,16384,2102,,,
2195,504,2102,2,16384,2103,,,
2198,505,2103,2,4194304,667,,,
2199,505,2103,2,4194304,667,,,
2200,505,2103,2,4194304,667,,,
2202,507,2104,1,128,2105,,,
2205,508,2105,2,512,517,,,
2206,508,2105,2,512,517,,,
2207,508,2105,2,512,517,,,
2212,509,2106,1,64,2109,,,
2214,510,2107,1,64,2106,,,
2215,510,2107,1,64,2106,,,
2217,511,2108,2,256,2106,,,
2219,512,2109,1,1,3,,,
5665,5562,5560,2,4194304,2103,,,
5780,5562,5560,2,4194304,2103,,,
5771,5668,5666,2,4194304,2103,,,
5889,5783,5781,2,4194304,2099,,,
6007,5783,5781,2,4194304,2099,,,
5998,5892,5890,2,4194304,2099,,,
