sim_scalar,packet_rate,buffer_size,flit_data_width,num_message_classes,num_nodes_per_router,explicit_pipeline_register,synthesis area (um^2),synthesis slack (ns),flit energy (J),dynamic power (W),static power (W)
0,0,16,512,4,1,0,108473.624148,0.0,1.5698068893528187e-12,0.00300775,8.882e-06
1,0,16,512,4,1,0,108473.624148,0.0,1.5698068893528187e-12,0.00300775,8.882e-06
0,10,16,512,4,1,0,108473.624148,0.0,5.427505219206681e-12,0.0103991,8.934e-06
1,10,16,512,4,1,0,108473.624148,0.0,3.824895615866389e-12,0.0073285,8.647e-06
0,20,16,512,4,1,0,108473.624148,0.0,9.164405010438414e-12,0.017559,8.929e-06
1,20,16,512,4,1,0,108473.624148,0.0,6.266179540709812e-12,0.012006,8.639e-06
0,30,16,512,4,1,0,108473.624148,0.0,1.2764613778705638e-11,0.024457,8.924e-06
1,30,16,512,4,1,0,108473.624148,0.0,8.482254697286013e-12,0.016252,8.636e-06
0,40,16,512,4,1,0,108473.624148,0.0,1.6608559498956163e-11,0.031822,8.92e-06
1,40,16,512,4,1,0,108473.624148,0.0,1.0639874739039667e-11,0.020385999999999998,8.633e-06
0,50,16,512,4,1,0,108473.624148,0.0,1.9808455114822544e-11,0.037952999999999994,8.915e-06
1,50,16,512,4,1,0,108473.624148,0.0,1.2688413361169104e-11,0.024311,8.631e-06
0,60,16,512,4,1,0,108473.624148,0.0,2.2606471816283925e-11,0.043314,8.912e-06
1,60,16,512,4,1,0,108473.624148,0.0,1.42713987473904e-11,0.027344,8.629e-06
0,70,16,512,4,1,0,108473.624148,0.0,2.3018789144050105e-11,0.044104,8.912e-06
1,70,16,512,4,1,0,108473.624148,0.0,1.4444154488517747e-11,0.027675,8.629e-06
0,80,16,512,4,1,0,108473.624148,0.0,2.307776617954071e-11,0.044217,8.912e-06
1,80,16,512,4,1,0,108473.624148,0.0,1.4559498956158663e-11,0.027896,8.629e-06
0,90,16,512,4,1,0,108473.624148,0.0,2.3073590814196244e-11,0.044209,8.912e-06
1,90,16,512,4,1,0,108473.624148,0.0,1.4443632567849689e-11,0.027674,8.629e-06
0,100,16,512,4,1,0,108473.624148,0.0,2.3195198329853865e-11,0.044442,8.912e-06
1,100,16,512,4,1,0,108473.624148,0.0,1.4555845511482258e-11,0.027889,8.629e-06
